short_code,river,arc_id,arc_type_id,name,description,type,sub_type,from_node_id,to_node_id,hydrologic_region_id,shape_length,model_source_id,source_id,is_reversible,flow_capacity,parent_arc_id,integration_status_id,network_version_id,is_active,connectivity_status,has_gis
C_BTL006,BTL,C_BTL006,8.0,Battle Creek,,CH,ST,,,1,9267.31746488793,1,4,,,,1,12,True,connected,True
C_CWD009,CWD,C_CWD009,8.0,Cottonwood Creek,,CH,ST,,,1,7249.56481196461,1,4,,,,1,12,True,connected,True
C_CWD003,CWD,C_CWD003,8.0,Cottonwood Creek,,CH,ST,,,1,4376.29391376199,1,4,,,,1,12,True,connected,True
C_PYN001,PYN,C_PYN001,8.0,Paynes Creek,,CH,ST,,,1,726.569020860439,1,4,,,,1,12,True,connected,True
C_ANT010,ANT,C_ANT010,8.0,Antelope Creek,,CH,ST,,,1,16093.4399715797,1,4,,,,1,12,True,connected,True
C_MLC006,MLC,C_MLC006,8.0,Mill Creek,,CH,ST,,,1,2703.7981070152,1,4,,,,1,12,True,connected,True
SR_02_SAC257,,SR_02_SAC257,,,,SR,,,,1,2500.00003872534,1,4,,,,1,12,True,connected,True
SR_02_CWD003,,SR_02_CWD003,,,,SR,,,,1,2500.00003872535,1,4,,,,1,12,True,connected,True
SR_02_KSWCK,,SR_02_KSWCK,,,,SR,,,,1,2500.00005720655,1,4,,,,1,12,True,connected,True
C_MLC004,MLC,C_MLC004,8.0,Mill Creek,,CH,ST,,,1,6437.37601617424,1,4,,,,1,12,True,connected,True
C_ELD027,ELD,C_ELD027,8.0,Elder Creek,,CH,ST,,,1,7542.46652799699,1,4,,,,1,12,True,connected,True
C_ELD022,ELD,C_ELD022,8.0,Elder Creek,,CH,ST,,,1,8046.71998045059,1,4,,,,1,12,True,connected,True
C_ELD017,ELD,C_ELD017,8.0,Elder Creek,,CH,ST,,,1,8046.72007128609,1,4,,,,1,12,True,connected,True
C_ELD005,ELD,C_ELD005,8.0,Elder Creek,,CH,ST,,,1,8046.7200743222,1,4,,,,1,12,True,connected,True
C_THM026,THM,C_THM026,8.0,Thomes Creek,,CH,ST,,,1,8046.80367468076,1,4,,,,1,12,True,connected,True
C_THM021,THM,C_THM021,8.0,Thomes Creek,,CH,ST,,,1,6437.37594680442,1,4,,,,1,12,True,connected,True
C_THM017,THM,C_THM017,8.0,Thomes Creek,,CH,ST,,,1,8046.72017609208,1,4,,,,1,12,True,connected,True
C_THM012,THM,C_THM012,8.0,Thomes Creek,,CH,ST,,,1,11265.4078795498,1,4,,,,1,12,True,connected,True
C_THM005,THM,C_THM005,8.0,Thomes Creek,,CH,ST,,,1,8046.71996286829,1,4,,,,1,12,True,connected,True
C_DRC010,DRC,C_DRC010,8.0,Deer Creek,,CH,ST,,,1,8341.18557875926,1,4,,,,1,12,True,connected,True
C_DRC005,DRC,C_DRC005,8.0,Deer Creek,,CH,ST,,,1,7752.28658338309,1,4,,,,1,12,True,connected,True
C_BCC012,BCC,C_BCC012,8.0,Big Chico Creek,,CH,ST,,,1,9656.0640280873,1,4,,,,1,12,True,connected,True
C_BCC006,BCC,C_BCC006,8.0,Big Chico Creek,,CH,ST,,,1,3218.68798167176,1,4,,,,1,12,True,connected,True
C_BCC004,BCC,C_BCC004,8.0,Big Chico Creek,,CH,ST,,,1,6437.37603144149,1,4,,,,1,12,True,connected,True
C_EPARK,STN,C_EPARK,8.0,Stony Creek,,CH,ST,,,1,28848.3841021399,1,4,,,,1,12,True,connected,True
C_SGRGE,STN,C_SGRGE,8.0,Stony Creek,,CH,ST,,,1,37014.9120231678,1,4,,,,1,12,True,connected,True
C_BLKBT,STN,C_BLKBT,8.0,Stony Creek,,CH,ST,,,1,596.803692112069,1,4,,,,1,12,True,connected,True
C_STN026,STN,C_STN026,8.0,Stony Creek,,CH,ST,,,1,7570.78379045238,1,4,,,,1,12,True,connected,True
C_STN021,STN,C_STN021,8.0,Stony Creek,,CH,ST,,,1,11144.5405232447,1,4,,,,1,12,True,connected,True
C_STN014,STN,C_STN014,8.0,Stony Creek,,CH,ST,,,1,8046.71993999928,1,4,,,,1,12,True,connected,True
C_STN004,STN,C_STN004,8.0,Stony Creek,,CH,ST,,,1,5937.77962524744,1,4,,,,1,12,True,connected,True
C_BTC003,BTC,C_BTC003,8.0,Butte Creek,,CH,ST,,,1,5452.40455501291,1,4,,,,1,12,True,connected,True
