short_code,source_mask,geopackage_source_id,xml_source_id,has_spatial_data,has_connectivity_data,schematic_type,name,type,sub_type,shape_length,hydrologic_region_id,network_version_id,is_active,created_by
C_TWL005,3,4.0,5.0,True,True,arc,Towle Canal,CH,CL,1581.799245933,1.0,12,True,2
D_SAC289_03_SA,3,4.0,5.0,True,True,arc,,D,,8093.81579999905,1.0,12,True,2
SR_61_SJR043,3,4.0,5.0,True,True,arc,,SR,,2500.00007079454,2.0,12,True,2
D_MFA036_RLT007,3,4.0,5.0,True,True,arc,Ralston Tunnel,D,,11210.5454166417,1.0,12,True,2
C_CHW017,3,4.0,5.0,True,True,arc,Chowchilla River,CH,ST,9273.4609616606,2.0,12,True,2
D_SAC159_08S_SA1,3,4.0,5.0,True,True,arc,,D,,12266.765926298,1.0,12,True,2
I_SFR006,3,4.0,5.0,True,True,arc,,IN,LI,7499.99998124862,1.0,12,True,2
ICEHS,3,4.0,5.0,True,True,node,ICEHS,STR,,,1.0,12,True,2
ANT010,3,4.0,5.0,True,True,node,ANT010,CH,STM,,1.0,12,True,2
C_CCH053,3,4.0,5.0,True,True,arc,Cache Creek,CH,ST,2052.34428458469,1.0,12,True,2
NFY017,3,4.0,5.0,True,True,node,NFY017,CH,STM,,1.0,12,True,2
CCK007,3,4.0,5.0,True,True,node,CCK007,CH,STM,,1.0,12,True,2
C_RRT000,3,4.0,5.0,True,True,arc,Rubicon-Rockbound Tunnel,CH,CL,921.496684489012,1.0,12,True,2
C_FTR045,3,4.0,5.0,True,True,arc,Feather River,CH,ST,8776.90290896705,1.0,12,True,2
SR_15N_HON004,3,4.0,5.0,True,True,arc,,SR,,2500.00006651493,1.0,12,True,2
CCH017,3,4.0,5.0,True,True,node,CCH017,CH,STM,,1.0,12,True,2
R_73_XA_SLD027,3,4.0,5.0,True,True,arc,,RT,,29527.9419,2.0,12,True,2
C_LLT000,3,4.0,5.0,True,True,arc,Loon Lake Tunnel,CH,CL,6341.21230714803,1.0,12,True,2
CAPLS,3,4.0,5.0,True,True,node,CAPLS,STR,,,1.0,12,True,2
