id,calsim_id,name,description,reservoir_entity_id,variable_type,is_aggregate,aggregated_variable_ids,trigger_threshold,unit_id,temporal_scale_id,variable_version_id,variable_id,source_ids,created_by,updated_by
437,C_UBEAR_NCF,Upper Bear Normal Release,Normal controlled release from Upper Bear (≤ release capacity),81,release_normal,false,,,2,3,1,77f1702d-8cc0-460b-9162-c760495edaf2,"{1,3,4}",1,
438,C_UBEAR_FLOOD,Upper Bear Flood Spill,Flood spill from Upper Bear (above release capacity),81,release_flood,false,,,2,3,1,55afe8bf-01e5-43d4-bfbc-9a566dffcd9c,"{1,3,4}",1,
439,C_UNVLY,Union Valley Total Release,Total release from Union Valley,82,release_total,false,,,2,3,1,55fb229c-4639-44f0-8ade-49a4f28dffa5,"{1,3,4}",1,
440,C_UNVLY_NCF,Union Valley Normal Release,Normal controlled release from Union Valley (≤ release capacity),82,release_normal,false,,,2,3,1,1762f106-4a87-4df6-924e-58463edfc4ce,"{1,3,4}",1,
441,C_UNVLY_FLOOD,Union Valley Flood Spill,Flood spill from Union Valley (above release capacity),82,release_flood,false,,,2,3,1,1e1b982c-f116-4f39-bacb-7d3b5175a9f8,"{1,3,4}",1,
442,C_WDWRD,Woodward Total Release,Total release from Woodward,83,release_total,false,,,2,3,1,50bbd4e6-e9ec-4c3a-a7f8-f537ab68c80c,"{1,3,4}",1,
443,C_WDWRD_NCF,Woodward Normal Release,Normal controlled release from Woodward (≤ release capacity),83,release_normal,false,,,2,3,1,73dfb998-e80f-43b5-9a54-47ee02294c8a,"{1,3,4}",1,
444,C_WDWRD_FLOOD,Woodward Flood Spill,Flood spill from Woodward (above release capacity),83,release_flood,false,,,2,3,1,86bdf2fa-5632-4c56-97f5-934133530f22,"{1,3,4}",1,
445,C_WKYTN,Whiskeytown Total Release,Total release from Whiskeytown,84,release_total,false,,,2,3,1,5315ded8-c1db-4b45-bc5a-245af7c658ac,"{1,3,4}",1,
446,C_WKYTN_NCF,Whiskeytown Normal Release,Normal controlled release from Whiskeytown (≤ release capacity),84,release_normal,false,,,2,3,1,13a4c3c8-10ab-477f-b639-81cd604c2b5a,"{1,3,4}",1,
447,C_WKYTN_FLOOD,Whiskeytown Flood Spill,Flood spill from Whiskeytown (above release capacity),84,release_flood,false,,,2,3,1,2fabd0e5-b430-4446-b0a8-e4e09a098aea,"{1,3,4}",1,
